ID,Asset Name,Code,Project,Client,Project Activity,Activity Description,Duration (Hours),Duration (Days),Time Begin UTC,Time End UTC,URL
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Running line DE_D_M24A FF 1991 LF 2769. Rerun for streamer issues,0.9,0.0,03-Apr-23 00:00,03-Apr-23 00:54,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-04-03
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Traslado desde los puntos de sondaje hacia casino el Saladillo y retorno a los puntos de sondaje de ambas cuadrillas.,1.5,0.1,02-Apr-23 16:30,02-Apr-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-02
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Running line DE_D_M23A ( rerun for streamer issues ) FF 1991 LF 2770,1.3,0.1,02-Apr-23 14:03,02-Apr-23 15:23,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-04-02
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Downtime due to NTRS logging issue at SOL,1.2,0.0,02-Apr-23 10:12,02-Apr-23 11:21,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-04-02
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo,1.0,0.0,01-Apr-23 16:10,01-Apr-23 17:10,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-04-01
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo,1.0,0.0,31-Mar-23 16:15,31-Mar-23 17:15,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-31
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting daylight to Shift the SEP at AF BH01 borehole location,6.0,0.3,31-Mar-23 00:00,31-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-31
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting daylight to Shift the SEP at AF BH01 borehole location,6.0,0.3,30-Mar-23 18:00,31-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-30
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Rig Breakdown,"Under the supervision of Vale HSE representative, replaced the rig hydraulic hose.",1.8,0.1,30-Mar-23 16:45,30-Mar-23 18:30,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-30
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Se realiza traslado de ambas cuadrillas de sondas desde punto de sondaje hacia casino a almuerzo y viceversa.,1.5,0.1,30-Mar-23 16:00,30-Mar-23 17:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-30
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Rig Breakdown,"Vale HSE team approved the JSA. Manlift, Operator, and 1 Banksman were mobilized to the location.",0.8,0.0,30-Mar-23 16:00,30-Mar-23 16:45,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-30
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Rig Breakdown,"In order to replace a damaged hydraulic hose at height, Fugro submitted JSA for Vale HSE team to review and approve.",0.3,0.0,30-Mar-23 12:00,30-Mar-23 12:15,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-30
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Rig Breakdown,Rig rotary hydraulic hose burst. Fugro operator immediately stopped the rig engine and utilized the spill kit at site. Vale HSE and the environmental team examined the area. Fugro team cleaned the area in accordance with the environmental team's instructions.,2.5,0.1,30-Mar-23 09:30,30-Mar-23 12:00,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-30
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Se almuerza en casino Saladillo y se realiza Cambio de turno con grupo turno A.,1.5,0.1,29-Mar-23 15:00,29-Mar-23 16:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-29
3211,HOS Browning,02.00175224-01,Atlantic Shores OWF Geotechnical SI 2022 - HOS Browning,Shell New Energies LLC,Downtime (Fugro),"BHF-P1OL-100 at WTG-28
Drill pipe stuck BML / Driller works to release it 
At 0840 - Drill pipe free & Driller clean cleans the open hole",6.8,0.3,29-Mar-23 07:30,29-Mar-23 14:20,https://dome.fugro.com/operations/ddpr/project/3211/dpr?d=2023-03-29
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting daylight to shift the SEP to next location,6.0,0.3,29-Mar-23 00:00,29-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-29
4177,Skate-3D,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Waiting for Day light to Shift the SEP,6.0,0.3,29-Mar-23 00:00,29-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4177/dpr?d=2023-03-29
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Almuerzo y transporte ida y vuelta. Ambos equipos de las sondas,1.5,0.1,28-Mar-23 16:30,28-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-28
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,SBES restrat; Starcomms lost,0.1,0.0,28-Mar-23 07:40,28-Mar-23 07:45,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-28
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Almuerzo y transporte ida y vuelta del personal de ambas sondas,1.5,0.1,27-Mar-23 16:30,27-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-27
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting day light to Shift the SEP from AF CPT01 location to AF BH01 borehole location,6.0,0.3,27-Mar-23 00:00,27-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-27
4177,Skate-3D,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Waiting for day light Shifting of SEP to AF-AD BH01 location for Mazier sampling up to 10.0m depth,6.0,0.3,27-Mar-23 00:00,27-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4177/dpr?d=2023-03-27
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,Starcomms lost. Starfix NG not connecting to  LOC1. Re installed the drivers to enable Starcomms,0.4,0.0,27-Mar-23 03:01,27-Mar-23 03:25,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-27
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting day light to Shift the SEP from AF CPT01 location to AF BH01 borehole location,6.0,0.3,26-Mar-23 18:00,27-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-26
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,"WMBES stopped by itself, Restarted to get the data back, Vessel relocating",0.1,0.0,26-Mar-23 22:05,26-Mar-23 22:13,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-26
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Almuerzo y transporte ida y vuelta de ambas cuadrillas de sondaje.,1.5,0.1,26-Mar-23 16:40,26-Mar-23 18:10,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-26
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,MBES software stopped working by itself. Restarted to get online,0.1,0.0,26-Mar-23 00:20,26-Mar-23 00:27,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-26
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,MBES Switched Off by itself. Integrating back to Starfix NG,0.4,0.0,25-Mar-23 19:45,25-Mar-23 20:06,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-25
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo y transporte ida y vuelta.,1.5,0.1,25-Mar-23 16:30,25-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-25
3211,HOS Browning,02.00175224-01,Atlantic Shores OWF Geotechnical SI 2022 - HOS Browning,Shell New Energies LLC,Downtime (Fugro),"At CME performing port call activities
- Load fresh water
- Offload oily rags and used cooking oil
- Receive, install and test water pump for MkV system
- Pilot on board",13.0,0.5,25-Mar-23 05:00,25-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3211/dpr?d=2023-03-25
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,"* MV Regulus OFF-HIRE. Status to remain unchanged until completion of shipyard/maintenance port call.

** Estimate duration: 17-20 days.",0.0,0.0,25-Mar-23 13:29,25-Mar-23 13:30,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-25
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,MV Regulus alongside BDD/Gangway down/Pilot disembarks.,0.0,0.0,25-Mar-23 13:28,25-Mar-23 13:29,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-25
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,Transit to Bayonne Dry Dock  Repairs.,2.5,0.1,25-Mar-23 10:58,25-Mar-23 13:28,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-25
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,Pilot onboard.,0.0,0.0,25-Mar-23 10:57,25-Mar-23 10:58,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-25
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,Transit to NY anchorage.,6.0,0.2,25-Mar-23 05:00,25-Mar-23 10:57,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-25
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Re-run line DE_D_M20A HDG 046 Length: 4km. Re-run for Chirp only,0.5,0.0,25-Mar-23 08:06,25-Mar-23 08:35,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-25
3211,HOS Browning,02.00175224-01,Atlantic Shores OWF Geotechnical SI 2022 - HOS Browning,Shell New Energies LLC,Downtime (Fugro),"At CME performing port call activities
-PS logging tool test
- Continue with Starlink installation
- Crew performing planned maintenance",12.0,0.5,24-Mar-23 17:00,25-Mar-23 05:00,https://dome.fugro.com/operations/ddpr/project/3211/dpr?d=2023-03-24
4041,M/V Regulus,02.00201260,Attentive Energy USA NYB Geotechnical Survey 2023 - Regulus,Attentive Energy,DTF,Transit to NY anchorage.,2.4,0.1,25-Mar-23 02:35,25-Mar-23 05:00,https://dome.fugro.com/operations/ddpr/project/4041/dpr?d=2023-03-24
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,Starcomms failure. Rebooted to get back online,0.3,0.0,25-Mar-23 03:39,25-Mar-23 03:54,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-25
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Received NSC Clearance.,23.0,1.0,24-Mar-23 00:00,24-Mar-23 23:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-24
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,Starfix NG PC Crashed. Restarted the PC to fix,0.2,0.0,24-Mar-23 18:50,24-Mar-23 19:00,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-24
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,- Almuerzo y transporte ida y vuelta.,1.5,0.1,24-Mar-23 16:00,24-Mar-23 17:30,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-24
3211,HOS Browning,02.00175224-01,Atlantic Shores OWF Geotechnical SI 2022 - HOS Browning,Shell New Energies LLC,Downtime (Fugro),"Port call activities at CME 
- LARS assembly
- Project and Marine crew performing planned maintenance",4.0,0.2,24-Mar-23 01:00,24-Mar-23 05:00,https://dome.fugro.com/operations/ddpr/project/3211/dpr?d=2023-03-23
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Re-run line DE_D_10A HDG 046 Length: 4km. Re-run for Chirp only.,0.5,0.0,24-Mar-23 04:08,24-Mar-23 04:40,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-24
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Waiting for NSC Extension,24.0,1.0,23-Mar-23 00:00,24-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-23
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,"Traslado hacia el Saladillo, Almuerzo del personal y retorno a los puntos de sondaje.",1.5,0.1,23-Mar-23 16:30,23-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-23
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,SVP logging frozen on Starfix NG. Post poned the SVP readings using ROV,0.4,0.0,23-Mar-23 14:15,23-Mar-23 14:40,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-23
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,"Starcomms lost, MBES Data not receiving at NG. Restarted and Got the connection back",0.2,0.0,23-Mar-23 05:15,23-Mar-23 05:29,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-23
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Waiting for NSC Extension,24.0,1.0,22-Mar-23 00:00,23-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-22
4177,Skate-3D,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Waiting for Day light to shift the SEP to the next Island AD borehole location AD-BH01,5.5,0.2,22-Mar-23 18:30,23-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/4177/dpr?d=2023-03-22
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,"Personal de ambas cuadrillas se traslada hacia el Saladillo a Colación.
Se realiza entrega de turno A al turno B en el Saladillo.
Traslado desde casino a IIFF del turno B.
Se queda parte de la cuadrilla que requieren tramite de licencia en el Saladillo para realizar curso practico de conducción.",1.5,0.1,22-Mar-23 15:30,22-Mar-23 17:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-22
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Waiting for NSC Extension,24.0,1.0,21-Mar-23 00:00,22-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-21
2551,Fugro Gauss,00000,Fugro Gauss,Fugro Resource Planning,Idle at sea,Standby at Outer Anchorage (Waiting on permit for SeaMeWe6),24.0,1.0,21-Mar-23 00:00,22-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/2551/dpr?d=2023-03-21
2471,GEO,AMR017,Anglo American (AMR017) RP1653309 -Aut Inst Geotécnicos Monitoring,Anglo American Brazil,Falta de pessoal,Equipe atuando no projeto AMR018.,9.5,0.4,21-Mar-23 10:30,21-Mar-23 20:00,https://dome.fugro.com/operations/ddpr/project/2471/dpr?d=2023-03-21
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Re-run line DE_D_M11A HDG 226 Length: 4km. Re-run for Chirp only,0.6,0.0,21-Mar-23 18:45,21-Mar-23 19:20,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-21
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Re-run line DE_D_M27A HDG 046 Length: 4km. Re-run for Chirp only,0.6,0.0,21-Mar-23 17:50,21-Mar-23 18:23,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-21
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,Traslado de ida al Casino. Almuerzo del personal y retorno a los puntos de sondajes,1.5,0.1,21-Mar-23 16:30,21-Mar-23 18:00,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-21
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Dwontime Other,"During the meeting, the Vale representative agreed to use a handheld GPS on the job site, and it is officially confirmed by Vale team. Fugro will need at least two points in UTM coordinates to convert benchmark plant coordinates in UTM system (if required).",0.5,0.0,21-Mar-23 16:30,21-Mar-23 17:00,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-21
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Dwontime Other,Weather standby (Rain).,2.0,0.1,21-Mar-23 13:30,21-Mar-23 15:30,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-21
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Dwontime Other,Lunch Break,1.0,0.0,21-Mar-23 12:30,21-Mar-23 13:30,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-21
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Dwontime Other,3rd party survey team arrived and completed Vale Oman HSE induction.,3.5,0.1,21-Mar-23 09:00,21-Mar-23 12:30,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-21
4177,Skate-3D,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Waiting for day light to Commence Menard PMT,6.0,0.3,21-Mar-23 00:00,21-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4177/dpr?d=2023-03-21
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Waiting for NSC Extension.,24.0,1.0,20-Mar-23 00:00,21-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-20
2551,Fugro Gauss,00000,Fugro Gauss,Fugro Resource Planning,Idle at sea,Standby at Outer Anchorage (Waiting on permit for SeaMeWe6),24.0,1.0,20-Mar-23 00:00,21-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/2551/dpr?d=2023-03-20
4177,Skate-3D,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting day light to perform Menard PMT at AB BH01,6.0,0.3,20-Mar-23 18:00,21-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/4177/dpr?d=2023-03-20
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Changing a faulty section on the 2DHR streamer,1.4,0.1,20-Mar-23 17:52,20-Mar-23 19:18,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-20
3963,Fugro Chile SA,8263,CODELCO DAND - FERROVIAL - Sondajes Embalse Los Leones,Codelco División Andina Los Andes,Almuerzo,"Traslado al Saladillo, almuerzo del personal y retorno a las plataformas de sondaje.",1.3,0.1,20-Mar-23 16:30,20-Mar-23 17:50,https://dome.fugro.com/operations/ddpr/project/3963/dpr?d=2023-03-20
4163,BLY-0009,500333,Vale Oman Pelletizing Plant - Onshore,VALE S.A,Dwontime Other,Lunch Break,1.0,0.0,20-Mar-23 12:30,20-Mar-23 13:30,https://dome.fugro.com/operations/ddpr/project/4163/dpr?d=2023-03-20
4173,Fugro Galaxy,25-230237,TEPDK Dan E decomm. site survey,TotalEnergies EP Danmark A/S,Downtime Other,Re-run line DE_A_M20A for SSS only. Re-run due to technical issue with the SSS,1.0,0.0,20-Mar-23 07:40,20-Mar-23 08:38,https://dome.fugro.com/operations/ddpr/project/4173/dpr?d=2023-03-20
4006,Gulf Giant,500330,ADNOC UAE North-East Bab (NEB) Project Artificial Island Construction - Geotechnical,ADNOC (Abu Dhabi National Oil Company),Waiting on day light,Awaiting day light to repeat the AF CPT06,6.0,0.3,20-Mar-23 00:00,20-Mar-23 06:00,https://dome.fugro.com/operations/ddpr/project/4006/dpr?d=2023-03-20
3571,ACOMS 11,202812,LTEH_India_Pre-construction and Anchor clearance  survey Season 1 for PRP-7 Project : ACOMS 11,L&T Hydrocarbon Engineering Limited,NSC,Waiting for NSC Extension.,24.0,1.0,19-Mar-23 00:00,20-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/3571/dpr?d=2023-03-19
2551,Fugro Gauss,00000,Fugro Gauss,Fugro Resource Planning,Idle at sea,Standby at Outer Anchorage (Waiting on permit for SeaMeWe6),24.0,1.0,19-Mar-23 00:00,20-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/2551/dpr?d=2023-03-19
4062,Fugro Pegasus,RINU918,RINU918 - RAO Blue Essence & Blue Volta,Fugro,Breakdown LOC,Starcomm comms lost at Survey PC,0.6,0.0,19-Mar-23 23:27,20-Mar-23 00:00,https://dome.fugro.com/operations/ddpr/project/4062/dpr?d=2023-03-19
